time (s), sensor, F1, F2, F3, F4, F5, F6, F7, F8, Clear, NIR
1.110790491104126,4,88,169,2374,3580,1345,339,479,503,399,249
3.194155693054199,1,192,1494,2700,4528,3345,824,1617,1784,1324,755
5.280058145523071,2,173,2331,4819,4841,3412,1195,2124,1871,1442,784
7.358373403549194,3,8582,65535,31882,59059,65535,11567,65535,65535,57535,25245
9.440762281417847,4,85,173,2012,3105,1341,344,483,512,398,253
11.524231433868408,1,194,1490,3245,4540,3344,807,1613,1780,1318,756
13.630083560943604,2,175,2328,1528,4845,3416,1203,2123,1869,1439,785
15.68854546546936,3,8589,65535,31910,59033,65535,11615,65535,65535,57484,25257
17.774145126342773,4,80,175,3542,3618,1363,355,490,517,408,259
19.85442566871643,1,189,1496,4263,3251,3346,827,1613,1785,1323,752
21.940444707870483,2,173,2325,4697,4219,3418,1157,2125,1870,1444,785
24.018498420715332,3,8581,65535,31897,58991,65535,11580,65535,65535,57487,25221
26.099839687347412,4,71,126,1909,3625,1030,283,323,342,281,219
28.184357404708862,1,189,1493,2160,4439,3341,825,1615,1785,1320,751
30.26959466934204,2,174,2324,4885,4901,3421,1222,2128,1871,1444,786
32.3483612537384,3,8588,65535,31911,59020,65535,11667,65535,65535,57482,25209
34.43051719665527,4,89,167,257,3526,1351,345,493,518,408,252
36.537805795669556,1,188,1493,4144,4323,3339,800,1614,1786,1320,751
38.599529504776,2,177,2328,2474,4731,3416,1233,2125,1869,1444,784
40.68671274185181,3,8583,65535,31915,58981,65535,11668,65535,65535,57436,25194
42.76049852371216,4,83,171,3413,3419,1355,337,492,520,409,251
44.84412741661072,1,190,1495,4225,3262,3353,823,1614,1784,1322,753
46.92960476875305,2,175,2322,4828,4846,3419,1208,2126,1870,1447,783
49.012325286865234,3,8550,65535,31825,58723,65535,11540,65535,65535,57448,25188
51.09016561508179,4,87,175,792,1669,1373,350,500,524,413,254
53.17415165901184,1,189,1491,4223,4544,3343,812,1615,1783,1321,756
55.259079933166504,2,176,2322,1974,4957,3417,1241,2126,1868,1441,783
57.33898067474365,3,8562,65535,31849,58902,65535,11604,65535,65535,57402,25202
59.42011332511902,4,90,170,3435,2213,1369,341,500,524,414,253
61.52384328842163,1,190,1497,3550,4575,3343,835,1616,1783,1323,755
63.58929681777954,2,178,2329,4797,4781,3414,1194,2126,1869,1445,783
