time (s), sensor, F1, F2, F3, F4, F5, F6, F7, F8, Clear, NIR
0.5096971988677979,1,233,1815,4408,2639,3992,1017,1969,2228,1619,935
2.5806660652160645,2,206,2649,3584,4847,4018,1436,2458,1942,1431,906
4.65831446647644,3,9493,65535,43488,65535,41076,6763,65535,65535,65535,34232
6.741385221481323,4,112,221,602,1505,1645,435,631,670,537,320
8.825397253036499,1,230,1824,4340,4754,3997,997,1972,2235,1626,944
10.910998821258545,2,207,2644,4962,3774,4014,1421,2458,1942,1432,902
12.988994598388672,3,9484,65535,43485,65535,41075,6731,65535,65535,65535,34275
15.071272850036621,4,112,216,584,3559,1618,405,621,661,528,315
17.154987335205078,1,232,1812,4423,4821,3993,1022,1969,2231,1622,941
19.259491682052612,2,199,2642,5046,4915,4012,1459,2453,1938,1432,903
21.318870306015015,3,9479,65535,43404,65535,41070,6743,65535,65535,65535,34201
23.40408158302307,4,117,222,2578,3489,1628,415,625,665,532,316
25.485474348068237,1,233,1816,4053,4786,3996,1007,1969,2231,1621,943
27.57212257385254,2,198,2644,4960,4392,4012,1438,2455,1938,1426,901
29.648828744888306,3,9475,65535,43484,65535,41083,6713,65535,65535,65535,34210
31.731255292892456,4,105,214,3457,3548,1633,419,623,664,529,318
33.81529879570007,1,229,1814,4424,4819,3994,1023,1968,2229,1625,939
35.90132117271423,2,202,2635,4892,4758,4008,1398,2453,1938,1432,902
37.978477478027344,3,9491,65535,43475,65535,41055,6810,65535,65535,65535,34187
40.06124949455261,4,112,229,3503,3022,1647,422,633,673,538,321
42.17492175102234,1,231,1811,4404,4524,3993,1022,1969,2232,1628,940
44.23047232627869,2,201,2639,4940,4557,4008,1409,2450,1938,1431,901
46.31559109687805,3,9491,65535,43446,65535,41035,6795,65535,65535,65535,34210
48.390841007232666,4,112,225,3501,2845,1651,412,634,673,542,321
50.49173879623413,1,230,1816,4353,4787,3987,1011,1970,2230,1623,942
52.560468673706055,2,200,2646,4975,4842,4007,1422,2452,1938,1430,903
54.64869570732117,3,9476,65535,43351,65535,41045,6772,65535,65535,65535,34168
56.720656394958496,4,108,219,3147,2665,1643,426,629,668,536,319
58.80624794960022,1,228,1813,3399,4819,3989,1019,1967,2228,1619,939
60.89060115814209,2,203,2632,4924,4792,4010,1418,2451,1935,1429,903
62.968422412872314,3,9500,65535,43509,65535,41022,6856,65535,65535,65535,34171
65.05103635787964,4,109,217,3462,3550,1641,415,632,667,534,322
67.14526796340942,1,233,1811,2477,4752,3983,1009,1968,2228,1622,935
69.22050189971924,2,199,2640,5008,4187,4004,1442,2448,1935,1427,903
71.29829335212708,3,9487,65535,43409,65535,40992,6821,65535,65535,65535,34138
73.39057040214539,4,111,222,3495,3582,1642,413,632,670,537,321
75.46514058113098,1,229,1804,4440,4846,3982,1038,1964,2224,1617,937
77.55040073394775,2,199,2634,3115,4335,4000,1436,2448,1936,1429,900
79.6291663646698,3,9488,65535,43374,65535,40998,6872,65535,65535,65535,34103
81.71496558189392,4,105,221,3515,3600,1642,412,629,668,535,322
83.79389882087708,1,230,1804,4376,4801,3980,1021,1963,2223,1616,936
85.89212131500244,2,203,2646,5046,4273,4002,1445,2451,1937,1428,899
87.9580135345459,3,9468,65535,43114,65535,40931,6800,65535,65535,65535,34134
90.04094195365906,4,105,211,3477,3568,1641,425,629,667,533,322
92.14160680770874,1,228,1807,3539,4694,3982,990,1966,2223,1614,939
94.20943403244019,2,203,2642,5096,3400,4002,1467,2451,1937,1430,905
96.28755283355713,3,9470,65535,43350,65535,40988,6820,65535,65535,65535,34094
98.37079644203186,4,110,219,3062,3576,1638,421,627,665,531,315
100.45484638214111,1,228,1806,4403,1909,3979,1017,1964,2222,1615,934
102.54029726982117,2,198,2638,4971,4839,3990,1432,2442,1934,1426,900
104.61808657646179,3,9436,65535,43290,65535,40929,6702,65535,65535,65535,34101
106.70724248886108,4,105,212,3458,3545,1635,417,627,663,529,317
108.78457880020142,1,231,1806,4437,4832,3976,1013,1961,2219,1617,938
110.86998414993286,2,199,2639,5109,2514,3999,1474,2442,1932,1425,902
112.94805812835693,3,9467,65535,43351,65535,40924,6820,65535,65535,65535,34103
115.03082227706909,4,105,211,3472,3560,1631,420,625,660,529,315
117.11356449127197,1,233,1807,4487,4884,3972,1031,1963,2221,1615,937
119.19897747039795,2,197,2643,5057,4411,3998,1456,2448,1933,1424,902
121.27868032455444,3,9458,65535,43327,65535,40911,6751,65535,65535,65535,34118
123.38256692886353,4,104,211,3524,3088,1619,424,622,658,522,309
125.44508385658264,1,233,1804,4247,4674,3971,982,1962,2219,1611,935
127.53022384643555,2,202,2640,5040,1798,3995,1444,2443,1932,1423,897
129.60844159126282,3,9455,65535,43315,65535,40868,6784,65535,65535,65535,34106
131.69079542160034,4,101,212,3521,3608,1610,427,620,655,521,307
133.77476119995117,1,229,1803,3320,3380,3968,1027,1961,2219,1612,930
135.88000893592834,2,200,2638,2038,4837,3994,1424,2442,1932,1422,899
137.93851947784424,3,9461,65535,43342,65535,40891,6785,65535,65535,65535,34165
140.02032327651978,4,109,209,292,1303,1604,417,617,650,515,302
142.1093237400055,1,231,1803,1475,4087,3968,1028,1961,2218,1606,930
144.19010138511658,2,200,2641,1450,4908,3994,1450,2442,1931,1418,900
146.26832056045532,3,9439,65535,43305,65535,40802,6730,65535,65535,65535,34095
148.35245013237,4,104,204,1490,3670,1597,424,615,647,512,304
150.43458247184753,1,230,1810,4100,4824,3967,1022,1958,2219,1607,931
152.52017378807068,2,199,2633,4950,4820,3995,1431,2446,1931,1424,900
154.61432576179504,3,9416,65535,43237,65535,40757,6678,65535,65535,65535,34047
156.68079209327698,4,103,204,3410,3496,1591,406,612,643,507,301
158.7644283771515,1,232,1796,2621,4531,3970,1000,1959,2214,1609,929
160.8492968082428,2,200,2636,5163,4647,3990,1494,2447,1931,1422,897
162.92798590660095,3,9427,65535,43276,65535,40810,6734,65535,65535,65535,34067
165.0186460018158,4,106,205,3445,2298,1595,421,613,644,510,303
167.09433460235596,1,232,1801,2776,4807,3970,1015,1958,2215,1608,928
169.18005228042603,2,198,2631,4968,4837,3989,1416,2440,1931,1425,899
171.26042485237122,3,9440,65535,43296,65535,40832,6767,65535,65535,65535,34067
173.34058022499084,4,100,214,3511,2170,1589,428,610,646,506,303
175.46134448051453,1,231,1803,1466,4741,3965,1002,1956,2215,1607,927
177.5280134677887,2,201,2631,2281,4843,3992,1438,2429,1932,1420,898
179.58709383010864,3,9433,65535,43278,65535,40787,6780,65535,65535,65535,34051
181.67071557044983,4,102,207,3045,1673,1591,428,612,646,505,302
183.76245093345642,1,227,1804,4476,3422,3962,1032,1955,2215,1603,928
185.83949303627014,2,198,2636,5075,4071,3995,1465,2444,1929,1424,897
187.91805124282837,3,9449,65535,43327,65535,40848,6820,65535,65535,65535,34046
190.00599002838135,4,98,209,3494,1859,1596,428,612,646,511,301
192.08428716659546,1,229,1797,3781,4774,3964,1009,1955,2212,1603,929
194.1693480014801,2,205,2627,2334,3450,3994,1447,2442,1926,1420,897
196.24840545654297,3,9430,65535,43227,65535,40762,6778,65535,65535,65535,34026
198.32984113693237,4,101,210,3463,3550,1601,418,612,648,508,307
200.41392254829407,1,231,1801,3428,4881,3965,1039,1955,2212,1605,929
202.49970936775208,2,198,2635,4916,4782,3988,1401,2442,1930,1418,900
204.5870177745819,3,9430,65535,43260,65535,40800,6766,65535,65535,65535,34050
206.6591558456421,4,102,205,2535,3639,1617,433,615,649,512,307
208.77284836769104,1,231,1802,4417,4829,3962,1020,1957,2214,1607,932
210.82985138893127,2,201,2638,3094,3427,3996,1412,2443,1931,1420,898
212.90713453292847,3,9422,65535,43254,65535,40827,6735,65535,65535,65535,34074
214.98995232582092,4,105,203,2940,3695,1628,442,620,653,515,308
217.07390213012695,1,229,1805,3043,4759,3964,996,1960,2216,1609,930
219.15921902656555,2,202,2635,1762,2538,3993,1426,2441,1929,1419,899
