time (h),Upper Bound,Lower Bound
0.5,0.005411211029083244,0.003508925965288567
1.0,0.007083165048318175,0.0018369719460536362
1.5,0.01195762106990635,-0.001567627869827744
2.0,0.024594116072947928,-0.009690499097886333
2.5,0.05537217197544972,-0.02979701293548047
3.0,0.1093270168953184,-0.057551008059635145
3.5,0.19588628701030814,-0.08009534215340619
4.0,0.31680277621709113,-0.07042465338819032
4.5,0.4427574732816757,-0.027157051753654182
5.0,0.5663124470032681,0.06756962606137704
5.5,0.6546416101255113,0.18729120071747965
6.0,0.7219066508812292,0.33697855589761494
6.5,0.7823346963826454,0.49899149822159233
7.0,0.8265007162464416,0.6319058910635357
7.5,0.8512961405662884,0.7264421842348388
8.0,0.9240805092796497,0.8384045478359051
8.5,0.9235579998639207,0.8564173647416651
9.0,0.9438740943670134,0.8833594784339407
9.5,0.94986502548395,0.8951349435216347
10.0,0.9575458087107668,0.9047651273428271
10.5,0.9583501130681907,0.9134798735040749
11.0,0.9594707966409226,0.9208697596627375
11.5,0.9588909439537798,0.9233614611333734
12.0,0.9629023574361949,0.9255443411499512
12.5,0.9679378398022629,0.9243433845280034
13.0,0.9787374557777052,0.9222539641734159
13.5,0.9837606725451323,0.9170048358681825
14.0,0.9860616735837744,0.914670515833111
14.5,0.9871180360833725,0.9135602011958837
15.0,0.9867931581050634,0.9116422557323695
15.5,0.9859555409171226,0.9115216487826863
16.0,0.9893740411551896,0.9116307004340388
16.5,0.991410117663186,0.9065139081902889
17.0,0.9966150179593932,0.9050246422400899
17.5,0.9993636395310188,0.9010859145944492
18.0,1.001543748952322,0.8961510771737766
18.5,1.0072023056685013,0.8959933735192733
19.0,1.0091010009962376,0.8926886443577157
19.5,1.0114548239285688,0.8889641629482368
20.0,1.0128838768488562,0.8859448382371271
20.5,1.0146684254843996,0.8828320199609788
21.0,1.0155435575774738,0.879074148959773
21.5,1.0172358487519677,0.8757342860626126
22.0,1.0193292652842016,0.8732348327560612
22.5,1.0215412510584794,0.8709958460777004
23.0,1.0048498515140873,0.8826385235933601
23.5,0.9895047491798244,0.8965451472988285
