time (h),Upper Bound,Lower Bound
1,0.12526730136166167,0.0
2,0.12572304352467267,0.0
3,0.1292101400553061,0.0
4,0.14088103689004483,0.0
5,0.1708657359129614,0.0
6,0.17086581203261816,0.0
7,0.2640894953510813,0.015992806506489515
8,0.3966723217904011,0.14857570982580987
9,0.5822288401139467,0.33413221367074164
10,0.7614539581817178,0.5133572600005282
11,0.7614539650500025,0.5133572531322435
12,0.9646415836161084,0.7165448341224883
13,1.0299305172658906,0.7818336335920348
14,1.0319745502277917,0.7838765818472001
15,1.0336580482890678,0.785558461371017
16,1.0711556582917559,0.8230542133977229
17,1.0968552246762955,0.8487522388424832
18,1.10044369760246,0.8523396982442246
19,1.103978254233676,0.8558729411811848
20,1.1041453900027287,0.8560394424112625
21,1.120898873234521,0.8727927003058487
22,1.12218695081549,0.8740804771852778
23,1.1267926719980472,0.878685829321838
24,1.1285846992449406,0.8804777200901066
25,1.1313619509715707,0.8832548463961608
26,1.1313620415257832,0.8832547558419483
27,1.1303004766811506,0.8821931436350369
28,1.1134231831356178,0.8653157804683556
29,1.110761110684329,0.862653568684008
30,1.1075873805085836,0.8594797022143981
31,1.0832130713586872,0.8351053592239951
32,1.0832131197293873,0.835105310853295
33,1.0825694336341718,0.8344615763577918
34,1.0428574827688635,0.7947496526064772
