time (h),Upper Bound,Lower Bound
1,0.16420016804864876,0.0
2,0.16464389661289267,0.0
3,0.1683780096896276,0.0
4,0.18009577598397308,0.0
5,0.21081747860495778,0.0
6,0.30588250478188417,0.0
7,0.43812114895745147,0.11438733064766696
8,0.6201783461441535,0.29644498297870775
9,0.8019205395094605,0.47818796200433844
10,0.9444893262816665,0.6207578418619237
11,0.9444887139402685,0.6207584542033218
12,1.0242183824442517,0.7004890223281889
13,1.0918720628686904,0.7681429618728003
14,1.1206095496955055,0.7968803663906914
15,1.1493454753053496,0.8256160836724132
16,1.1734406801401045,0.8497111447315944
17,1.227549963821621,0.9038200640383849
18,1.2282972242022743,0.9045669927611757
19,1.246098035045902,0.9223674998000856
20,1.2642142576478528,0.9404834705091906
21,1.269766485307318,0.9460353696210166
22,1.2697666642871326,0.9460351906412021
23,1.27332517460065,0.9495942497742483
24,1.2770790441253137,0.953348618406221
