time (h),Upper Bound,Lower Bound
1,0.41431400941491436,0.0
2,0.4145454805498792,0.0
3,0.414545401192344,0.0
4,0.41715822535859076,0.0
5,0.4247554676504295,0.0
6,0.4438824296443738,0.0
7,0.44388274426453006,0.0
8,0.4988840340532922,0.0
9,0.8226776554330011,0.0
10,0.6539647850477055,0.0
11,0.8226786939682622,0.0
12,0.8245695604388876,0.0
13,1.0635282035139313,0.23867928132741534
14,1.0863034035206387,0.26145583833847963
15,1.2540603717616576,0.429214751675588
16,1.2784268359307451,0.45358314117153464
17,1.2918770953736223,0.4670353785433852
18,1.3139446412967408,0.48910507207644344
19,1.3186749138500633,0.49383764286176934
20,1.318673701857269,0.49383885485456386
21,1.31403464069751,0.48920074114414946
22,1.306424549775122,0.48159168009281333
23,1.2981644913854136,0.47333273834964296
24,1.2817964446019516,0.4569658744860305
25,1.264709373813634,0.43987895995203186
26,1.2568547797265266,0.4320244618194685
27,1.2437377492543957,0.41890685558747254
28,1.0843868282718219,0.2595538221515458
29,1.0731597357537193,0.24832503859740074
30,1.0631840745304213,0.23834700190085306
31,1.0492211366573585,0.22438221823378263
32,0.8226752281763141,0.0
33,0.8226756807029953,0.0
34,0.8226761948428449,0.0
35,0.8226761915908005,0.0
