time (h),Upper Bound,Lower Bound
1,0.15492089225564573,0.0
2,0.15492085586417,0.0
3,0.15942355666624064,0.0
4,0.15942360477065173,0.0
5,0.17330511527837467,0.0
6,0.3079333269694558,0.005954824850051499
7,0.44165633023825235,0.13967794278217407
8,0.44165629269186835,0.13967798032855802
9,0.6484752282568675,0.34649692127417897
10,0.8327976586209742,0.530819503288765
11,0.9492012970784331,0.647223193134961
12,1.0315906754943907,0.7296125539329469
13,1.088664663299791,0.7866863285850764
14,1.0886650944954583,0.7866858973894091
15,1.127234912232685,0.8252543545602482
16,1.1583395593549048,0.8563569492911065
17,1.1583403617619672,0.8563561468840442
18,1.1840746655976113,0.8820894206647736
19,1.1855991798400232,0.8836133462429695
20,1.1860268098132165,0.8840407051626493
21,1.2047941671908629,0.9028081012665499
22,1.2046367998126064,0.902650597174673
23,1.204794321484436,0.9028079469729766
24,1.204794347735333,0.9028079207220798
25,1.2052143005038092,0.9032278371349184
26,1.2224539793688494,0.9204675875943464
27,1.2224539762270146,0.9204675907361812
28,1.205214281610371,0.9032278560283566
29,1.2047943131212941,0.9028079553361186
30,1.2224539425770042,0.9204676243861915
31,1.220978170896103,0.9189917541896004
32,1.203311425265047,0.9013248962001273
33,1.20331143021238,0.9013248912527942
34,1.2033113778418485,0.9013249436233257
