time (h),Upper Bound,Lower Bound
1,0.09543063283708636,0.0
2,0.09543072735280402,0.0
3,0.09655910294357216,0.0
4,0.10168699240269004,0.0
5,0.11549828757828161,0.0
6,0.14689043136857977,0.0
7,0.23244805411448966,0.04729892473964996
8,0.3506823529711074,0.16553326945397193
9,0.5404167122726519,0.3552676193828505
10,0.8324817629745058,0.6473326571692575
11,0.9184701297794781,0.7333210156247018
12,0.918470141304816,0.7333210040993638
13,1.051203698890474,0.8660544346004062
14,1.0862476667884229,0.9010978796955705
15,1.094073221674441,0.9089219017914149
16,1.097667244912901,0.9125142019572673
17,1.0991048025863475,0.9139502636813018
18,1.1006704767542628,0.91551565130576
19,1.1044084259196576,0.91925329681988
20,1.1045702608856378,0.9194145985014419
21,1.1050518219669623,0.9198958709836044
22,1.1041005495460077,0.9189442750542121
23,1.103608431095908,0.9184519433229863
24,1.102544937211428,0.9173883560516892
25,1.1013824480048686,0.916225846879495
26,1.1013824240859824,0.9162258707983812
27,1.1002369973589077,0.9150805420151259
28,1.0999926936252196,0.9148363459484499
29,1.0995871826710082,0.9144309158422771
30,1.0969836899080168,0.9118274759810876
31,1.0952736355546866,0.9101174257513132
32,1.0918847582727143,0.9067285098642638
33,1.0879227422881286,0.9027664260856152
34,1.084937449852548,0.899781081517615
