time (s), sensor, F1, F2, F3, F4, F5, F6, F7, F8, Clear, NIR
159.75157046318054,1,117,1009,3911,3993,2089,622,1195,1173,870,575
161.83926963806152,2,123,1360,4060,4173,2789,720,1269,1172,876,497
163.91484093666077,3,4413,34156,17757,30279,65535,7726,38356,37913,27912,12565
165.9971582889557,4,58,120,3382,3428,1071,277,345,382,299,184
168.09807872772217,1,118,1015,3873,3956,2088,609,1193,1176,871,573
170.16682291030884,2,127,1366,4188,4204,2789,719,1270,1175,881,496
172.2637803554535,3,4403,34145,17623,30198,65535,7636,38321,37913,27874,12564
174.32720708847046,4,58,115,3331,1559,1075,273,347,378,297,183
176.41152787208557,1,121,1011,3893,3974,2092,608,1193,1176,871,574
178.50950241088867,2,124,1364,4153,4192,2793,714,1269,1177,875,497
180.5747992992401,3,4414,34185,17739,30271,65535,7740,38336,37928,27878,12565
182.6570179462433,4,60,113,3470,3516,1067,277,343,376,295,183
184.7416181564331,1,119,1016,3767,3853,2086,593,1192,1176,870,576
186.82679748535156,2,124,1359,4219,4262,2792,715,1270,1173,877,496
188.90479946136475,3,4415,34178,17741,30259,65535,7708,38280,37888,27877,12575
190.98642253875732,4,59,112,2927,1239,1062,271,343,376,292,180
193.0710265636444,1,120,1014,3685,4012,2088,618,1193,1176,871,573
195.16119003295898,2,129,1363,4160,956,2793,735,1268,1172,873,490
197.23462796211243,3,4408,34163,17726,30243,65535,7689,38296,37909,27884,12576
199.3164610862732,4,54,109,2902,3532,1054,282,341,374,295,182
201.40151715278625,1,121,1017,3997,4078,2088,622,1195,1178,869,573
203.48663878440857,2,125,1361,4302,4346,2792,736,1268,1171,875,498
205.56493473052979,3,4421,34212,17861,30365,65535,7841,38300,37916,27887,12574
207.6497941017151,4,58,119,3304,788,1053,269,342,375,296,180
209.73086786270142,1,123,1014,3967,4022,2088,616,1192,1177,872,576
211.816965341568,2,126,1364,4167,4191,2788,710,1269,1174,877,493
213.89364981651306,3,4421,34194,17637,30334,65535,7805,38306,37902,27875,12573
215.97656655311584,4,55,116,3160,3529,1047,270,341,375,292,178
218.06058883666992,1,122,1007,3895,3948,2087,612,1193,1172,870,575
220.14652967453003,2,123,1361,4209,4272,2789,733,1269,1171,876,496
222.26837730407715,3,4410,34174,17729,30249,65535,7690,38303,37917,27886,12575
224.30680584907532,4,57,115,3374,1897,1045,270,341,373,291,178
226.39075922966003,1,123,1015,629,3982,2088,614,1193,1175,866,574
228.50261449813843,2,122,1360,4197,4225,2790,714,1266,1171,874,493
230.55360102653503,3,4404,34153,17430,30220,65535,7659,38298,37905,27863,12568
232.63665533065796,4,57,105,3401,2908,1032,259,337,371,285,171
234.7362563610077,1,118,1016,3877,3958,2086,618,1194,1176,869,576
236.80662751197815,2,125,1360,4226,4244,2784,716,1270,1173,874,494
238.88415265083313,3,4412,34173,16602,30285,65535,7741,38328,37913,27894,12560
240.9842348098755,4,56,104,3355,3403,1024,263,337,368,288,173
243.05103874206543,1,116,1014,3809,3872,2084,588,1191,1176,871,573
245.13625073432922,2,126,1362,4241,4272,2781,723,1268,1171,871,493
247.21468591690063,3,4402,34163,17684,30212,65535,7632,38313,37914,27902,12569
249.29638695716858,4,57,109,3458,3505,1017,257,337,367,285,171
251.38070249557495,1,120,1011,3893,3973,2084,610,1193,1176,869,574
253.46635627746582,2,119,1362,4166,4208,2776,716,1266,1172,876,493
255.54954767227173,3,4402,34173,15853,30205,65535,7638,38326,37930,27879,12565
257.62639808654785,4,51,104,3355,3398,1011,253,333,364,284,170
259.71086406707764,1,122,1014,1516,3924,2083,597,1190,1175,869,573
261.8019256591797,2,124,1357,3847,823,2778,726,1266,1169,870,489
