time (h),Upper Bound,Lower Bound
1,0.06697516046611263,0.0
2,0.09641461663249722,0.0
3,0.12343274939084431,0.0
4,0.15405487734040332,0.0
5,0.19437555840479348,0.0
6,0.25590607264994486,0.0
7,0.3497266307391235,0.024260053046791852
8,0.36096280936830566,0.013023874417609715
9,0.4956547914829127,0.12660959498223945
10,0.5056361051312767,0.11662828133387548
11,0.5151295683108795,0.10713481815427264
12,0.5908006578301339,0.16466423127900076
13,0.7544640049546509,0.3109274362316181
14,0.8818083269771749,0.42152904337874897
15,0.8898856350290135,0.4134517353269104
16,0.8976978707910934,0.4056394995648305
17,1.0065050896689363,0.4993034326349628
18,1.013857088449685,0.4919514338542141
19,1.0210075411542539,0.4848009811496452
20,1.0279722276788763,0.4778362946250227
21,1.1063361098356053,0.542614476880729
22,1.1129691907383104,0.5359813959780237
23,1.1194531838318467,0.5294974028844875
