time (h),Upper Bound,Lower Bound
1,0.07817142291740865,0.0
2,0.1100195229194526,0.0
3,0.13445755754540825,0.0
4,0.15606289242749277,0.0
5,0.17608194467114638,0.0
6,0.19617334222498983,0.0
7,0.2178643200394789,0.0
8,0.24380452699478206,0.0
9,0.2800509130755284,0.0
10,0.33942872611345437,0.0
11,0.4426446564093758,0.0
12,0.5881262313762695,0.05543297614262599
13,0.761385617865431,0.20694142509171604
14,0.9295869436314288,0.35421359872315494
15,1.0834174274422035,0.487850147583355
16,1.2526336380858616,0.6375352969746395
17,1.293763983298349,0.6597362875451569
18,1.3372735102964453,0.684865760803917
19,1.3936552386080299,0.7233717659518051
20,1.427826922055527,0.7401327879066821
21,1.4414389521252837,0.7367645312973136
22,1.4497293364667634,0.728474146955834
23,1.4578337910184853,0.7203696924041121
