time (h),Upper Bound,Lower Bound
1,0.06895735190823672,0.0
2,0.0981855279231195,0.0
3,0.12338190888681998,0.0
4,0.14941645155879033,0.0
5,0.16502189424326683,0.0
6,0.19576415862746988,0.0
7,0.24031400241272743,0.0
8,0.3146033261836404,0.0
9,0.4344384975075998,0.03781455438929021
10,0.9268626139052935,0.5087844366343591
11,0.9367310179791652,0.4982471889732476
12,1.0152193712569986,0.5572382899743603
13,1.130884264059333,0.6542028445527276
14,1.1660524325908026,0.6713771902182897
15,1.1936870492948837,0.6816499851689988
16,1.2330602434862394,0.7042311799934766
17,1.2568557833523248,0.7117518310854143
18,1.273422497921743,0.7125158226355335
19,1.2831439610747843,0.7068678799839467
20,1.2906289561549573,0.6993828849037736
21,1.2979290384639484,0.6920828025947827
22,1.306465904725348,0.6863630703958323
23,1.3140860209035927,0.6800468356243715
