time (s), sensor, F1, F2, F3, F4, F5, F6, F7, F8, Clear, NIR
0.6105730533599854,3,6129,58311,26328,49140,65535,10438,65535,61023,47817,25372
2.6943180561065674,4,1047,7594,5637,8086,29285,4093,7808,9494,6355,2669
4.798519611358643,1,8969,65535,28894,59469,65535,11241,65535,47054,59742,27625
6.862529754638672,2,8913,65535,29602,61943,65535,12071,65535,65535,62004,27711
8.941330432891846,3,6138,58300,26289,49205,65535,10368,65535,61255,47908,25482
11.061854362487793,4,1048,7588,6393,9538,29212,3928,7823,9493,6359,2666
13.121869325637817,1,8927,65535,28757,59308,65535,11119,65535,47005,59636,27600
15.19281792640686,2,8891,65535,29556,61765,65535,12046,65535,65535,61888,27673
17.270535469055176,3,6112,58315,26555,49131,65535,10403,65535,61158,47883,25417
19.35383677482605,4,1052,7609,6599,9737,29239,4137,7827,9501,6365,2669
21.444259643554688,1,8946,65535,28848,59396,65535,11316,65535,46937,59685,27579
23.554614305496216,2,8850,65535,29477,61778,65535,11966,65535,65535,61894,27676
25.601093530654907,3,6104,58035,26467,49167,65535,10288,65535,61251,47927,25438
27.682994842529297,4,1052,7601,6555,6681,29187,4141,7820,9486,6356,2660
29.77254295349121,1,8931,65535,28750,59364,65535,11162,65535,46957,59750,27573
31.852399587631226,2,8875,65535,29200,61742,65535,12021,65535,65535,61817,27650
33.93044853210449,3,6107,57928,26435,49064,65535,10352,65535,61087,47794,25338
36.013922691345215,4,1045,7588,6507,7440,29264,4046,7803,9474,6342,2655
38.10589122772217,1,8981,65535,28927,59512,65535,11395,65535,47069,59726,27668
40.18305063247681,2,8884,65535,29221,61772,65535,12019,65535,65535,61759,27597
42.29389142990112,3,6092,57841,26447,48986,65535,10327,65535,60951,47702,25300
44.34377479553223,4,1043,7598,6149,9632,29142,4035,7808,9482,6344,2661
46.43329405784607,1,8944,65535,28813,59437,65535,11240,65535,47066,59737,27620
48.541221618652344,2,8878,65535,29522,61689,65535,12143,65535,65535,61814,27564
50.59049940109253,3,6073,57705,26376,48822,65535,10332,65535,60702,47517,25210
52.673624992370605,4,1044,7594,6340,9622,29237,4014,7813,9484,6353,2661
54.763842821121216,1,8884,65535,28669,59118,65535,11181,65535,46830,59425,27478
56.863351821899414,2,8873,65535,29585,61755,65535,12090,65535,65535,61891,27649
58.92003083229065,3,6112,58202,25462,49098,65535,10424,65535,60969,47757,25326
61.032222032547,4,1047,7606,6547,9730,29236,4123,7824,9489,6353,2657
63.095261335372925,1,8935,65535,28806,59381,65535,11210,65535,47038,59696,27646
65.17368602752686,2,8857,65535,29515,61639,65535,12050,65535,65535,61723,27581
67.25038647651672,3,6124,57968,26569,49164,65535,10498,65535,60957,47743,25298
69.3328869342804,4,1045,7615,6494,8320,29160,4155,7814,9491,6350,2656
71.42322397232056,1,8939,65535,28739,59393,65535,11160,65535,47041,59709,27604
73.5036849975586,2,8887,65535,29582,61844,65535,12074,65535,65535,61825,27676
75.58066940307617,3,6084,57838,26384,48971,65535,10347,65535,60990,47711,25285
77.6637499332428,4,1052,7610,5855,9736,29250,4124,7828,9500,6365,2658
79.7562735080719,1,8940,65535,28777,59279,65535,11222,65535,47031,59740,27598
81.83293604850769,2,8905,65535,29589,61984,65535,12038,65535,65535,62031,27708
83.91074013710022,3,6087,58240,26409,49020,65535,10274,65535,61003,47738,25313
86.01347780227661,4,1045,7594,5976,9597,29092,3998,7815,9467,6342,2653
88.0826427936554,1,8935,65535,28421,59367,65535,11263,65535,46935,59611,27546
90.16249561309814,2,8891,65535,29527,61914,65535,11993,65535,65535,62025,27750
92.23963332176208,3,6100,58334,26424,49003,65535,10328,65535,61055,47714,25355
94.32303166389465,4,1043,7608,5807,9711,29171,4121,7804,9476,6341,2654
96.48090124130249,1,8964,65535,28851,59428,65535,11206,65535,47061,59752,27630
98.49357557296753,2,8906,65535,29581,61777,65535,12060,65535,65535,61917,27661
100.5712959766388,3,6085,57795,26353,48957,65535,10282,65535,61023,47718,25318
102.65652632713318,4,1047,7597,4334,9678,29322,4066,7813,9502,6353,2660
104.74295902252197,1,8938,65535,28805,59330,65535,11221,65535,46964,59705,27580
106.82262563705444,2,8878,65535,29522,61741,65535,12065,65535,65535,61837,27636
108.89999198913574,3,6131,58192,26583,49142,65535,10426,65535,61041,47808,25322
110.98372220993042,4,1048,7589,5904,9164,29184,4047,7807,9474,6348,2656
113.0740396976471,1,8977,65535,28838,59479,65535,11220,65535,47082,59759,27623
115.15344786643982,2,8923,65535,29662,61903,65535,12124,65535,65535,61884,27706
117.23022723197937,3,6075,57792,26378,48903,65535,10305,65535,60874,47613,25287
119.31488347053528,4,1045,7579,6441,9620,29265,4015,7806,9481,6348,2659
121.40282201766968,1,8956,65535,28824,59324,65535,11274,65535,46871,59548,27508
123.48246145248413,2,8888,65535,29564,61732,65535,12105,65535,65535,61771,27635
125.5608959197998,3,6118,58015,26503,49033,65535,10361,65535,60997,47783,25284
127.66885662078857,4,1046,7596,6504,8353,29198,4050,7806,9496,6355,2657
129.73270082473755,1,8938,65535,28794,59259,65535,11276,65535,46841,59505,27485
131.81233882904053,2,8879,65535,29558,61769,65535,12076,65535,65535,61841,27641
133.89025378227234,3,6113,58149,26510,48989,65535,10398,65535,60849,47648,25261
