time (s), sensor, F1, F2, F3, F4, F5, F6, F7, F8, Clear, NIR
0.3250417709350586,1,13096,65535,40474,65535,65535,17461,65535,65535,65535,39323
2.384056329727173,2,9797,65535,31203,65535,65535,12728,65535,65535,64443,28693
4.463466167449951,3,7380,65535,30472,57418,65535,11061,65535,65535,54481,28361
6.573697090148926,4,1627,7802,6676,11340,32737,3886,6902,14327,6812,2514
8.634820461273193,1,13157,65535,40575,65535,65535,17617,65535,65535,65535,39367
10.714268922805786,2,9792,65535,31180,65535,65535,12785,65535,65535,64316,28692
12.793431997299194,3,7414,65535,30694,57353,65535,11215,65535,65535,54559,28396
14.875797510147095,4,1621,7814,4816,11366,32733,3910,6899,14338,6813,2516
16.9789719581604,1,13151,65535,40640,65535,65535,17635,65535,65535,65535,39550
19.044618129730225,2,9817,65535,31280,65535,65535,12824,65535,65535,64373,28727
21.121868133544922,3,7392,65535,30603,57434,65535,11142,65535,65535,54472,28402
23.227235317230225,4,1623,7804,6615,11314,32732,3858,6900,14337,6816,2513
25.294873237609863,1,13120,65535,40547,65535,65535,17510,65535,65535,65535,39533
27.374487161636353,2,9813,65535,31267,65535,65535,12794,65535,65535,64401,28716
29.452107906341553,3,7396,65535,30620,57456,65535,11133,65535,65535,54506,28406
31.55222749710083,4,1626,7821,6702,8949,32747,3920,6894,14335,6812,2509
33.62423634529114,1,13137,65535,40584,65535,65535,17535,65535,65535,65535,39487
35.70547318458557,2,9818,65535,31265,65535,65535,12805,65535,65535,64381,28717
37.78125977516174,3,7410,65535,30673,57472,65535,11207,65535,65535,54488,28368
39.920984745025635,4,1630,7815,3381,11361,32739,3910,6898,14336,6812,2513
41.95501637458801,1,13163,65535,40640,65535,65535,17567,65535,65535,65535,39371
44.03413701057434,2,9789,65535,31170,65535,65535,12665,65535,65535,64440,28726
46.11135983467102,3,7418,65535,30710,57491,65535,11255,65535,65535,54477,28402
48.19518208503723,4,1624,7821,5956,11331,32738,3874,6894,14354,6813,2510
50.28602743148804,1,13121,65535,40555,65535,65535,17479,65535,65535,65535,39370
52.38149547576904,2,9810,65535,31229,65535,65535,12771,65535,65535,64388,28709
54.442036628723145,3,7404,65535,30522,57417,65535,11203,65535,65535,54418,28361
56.52690839767456,4,1624,7821,6649,11381,32738,3926,6901,14365,6821,2503
58.61410903930664,1,13157,65535,40665,65535,65535,17594,65535,65535,65535,39531
60.69435477256775,2,9787,65535,31185,65535,65535,12709,65535,65535,64421,28671
62.77228665351868,3,7367,65535,30479,57333,65535,11096,65535,65535,54417,28362
