time (s), sensor, F1, F2, F3, F4, F5, F6, F7, F8, Clear, NIR
144.9129283428192,1,9854,65535,31039,62796,65535,11712,65535,48273,61762,28577
146.9940140247345,2,9925,65535,31774,65535,65535,13073,65535,65535,64534,28756
149.06910276412964,3,7164,65535,29812,55667,65535,11334,65535,65535,50683,28390
151.15292119979858,4,698,4854,4020,7070,19957,2760,4693,5665,3718,1691
153.25362515449524,1,9848,65535,31011,63338,65535,11666,65535,48217,61707,28533
155.32182478904724,2,9899,65535,31708,65535,65535,13014,65535,65535,64536,28719
157.39940905570984,3,7157,65535,29826,55687,65535,11321,65535,65535,50717,28398
159.48484253883362,4,694,4850,5202,7014,19924,2725,4691,5663,3720,1690
161.5723488330841,1,9844,65535,30972,63293,65535,11648,65535,48257,61703,28546
163.65215611457825,2,9885,65535,31666,65535,65535,12939,65535,65535,64516,28730
165.72950196266174,3,7122,65535,27875,55599,65535,11210,65535,65535,50709,28341
167.81221175193787,4,694,4847,5485,6679,19902,2788,4689,5660,3715,1684
169.90345907211304,1,9838,65535,30942,63274,65535,11604,65535,48226,61696,28521
171.9820101261139,2,9916,65535,31757,65535,65535,13075,65535,65535,64441,28733
174.059476852417,3,7129,65535,29673,55542,65535,11214,65535,65535,50651,28302
176.14266395568848,4,694,4850,5164,7029,19857,2726,4691,5652,3714,1689
178.2430820465088,1,9853,65535,31029,63285,65535,11712,65535,48196,61744,28496
180.3112428188324,2,9922,65535,31810,65535,65535,13143,65535,65535,64580,28716
182.39088535308838,3,7113,65535,29637,55546,65535,11136,65535,65535,50680,28332
184.47267770767212,4,694,4848,4272,5057,19870,2766,4697,5657,3719,1685
186.5621795654297,1,9858,65535,31021,63345,65535,11647,65535,48281,61724,28566
188.64259815216064,2,9909,65535,31773,65535,65535,13084,65535,65535,64459,28737
190.7451045513153,3,7155,65535,29796,55617,65535,11330,65535,65535,50661,28337
192.80269932746887,4,699,4868,5052,7049,19898,2738,4696,5662,3714,1689
194.8917155265808,1,9847,65535,30960,63328,65535,11597,65535,48215,61749,28535
197.01271891593933,2,9947,65535,31847,65535,65535,13124,65535,65535,64552,28797
199.05501461029053,3,7140,65535,29738,55653,65535,11248,65535,65535,50746,28376
201.1329333782196,4,696,4864,5511,7072,19894,2757,4706,5668,3729,1688
203.22202610969543,1,9844,65535,30998,63269,65535,11703,65535,48164,61673,28478
205.30113863945007,2,9924,65535,31767,65535,65535,13080,65535,65535,64480,28756
207.37919425964355,3,7135,65535,29757,55589,65535,11266,65535,65535,50697,28385
209.46308183670044,4,694,4862,3771,7051,19895,2739,4696,5660,3719,1688
211.56894040107727,1,9874,65535,31042,63367,65535,11669,65535,48285,61762,28570
213.63169598579407,2,9918,65535,31764,65535,65535,13043,65535,65535,64485,28723
215.7090241909027,3,7151,65535,29767,55637,65535,11254,65535,65535,50697,28388
217.79262614250183,4,695,4851,4262,5267,19871,2723,4698,5657,3718,1687
219.88119173049927,1,9857,65535,28929,63338,65535,11658,65535,48231,61659,28536
221.96247172355652,2,9917,65535,31763,65535,65535,13044,65535,65535,64556,28735
224.04116916656494,3,7140,65535,29731,55544,65535,11264,65535,65535,50611,28360
226.12285947799683,4,693,4858,5268,7033,19869,2747,4695,5656,3714,1681
228.21298217773438,1,9840,65535,30958,63238,65535,11643,65535,48203,61652,28516
230.2911820411682,2,9905,65535,31696,65535,65535,13016,65535,65535,64483,28710
232.3695502281189,3,7105,65535,29653,55035,65535,11186,65535,65535,50572,28304
234.47717761993408,4,693,4843,5432,6988,19845,2694,4686,5643,3704,1681
236.5421040058136,1,9860,65535,31020,63277,65535,11719,65535,48208,61678,28499
238.62176775932312,2,9914,65535,31753,65535,65535,13043,65535,65535,64506,28737
240.70096516609192,3,7134,65535,29714,55534,65535,11237,65535,65535,50579,28312
242.78263568878174,4,693,4847,5428,7001,19813,2704,4684,5639,3700,1680
244.8733868598938,1,9821,65535,30885,63160,65535,11591,65535,48107,61587,28443
246.9511787891388,2,9889,65535,31666,65535,65535,12965,65535,65535,64494,28717
249.03042006492615,3,7103,65535,29603,55499,65535,11140,65535,65535,50627,28296
251.11396026611328,4,692,4839,5330,6935,19819,2651,4680,5639,3705,1676
253.20193099975586,1,9826,65535,30874,63229,65535,11564,65535,48178,61688,28490
255.28183841705322,2,9891,65535,31674,65535,65535,13015,65535,65535,64375,28697
257.35955119132996,3,7114,65535,29616,55011,65535,11169,65535,65535,50558,28274
259.4422152042389,4,686,4839,5483,7032,19806,2719,4676,5632,3698,1677
261.5320930480957,1,9836,65535,30938,62691,65535,11637,65535,48157,61605,28479
263.61282324790955,2,9874,65535,31623,65535,65535,12968,65535,65535,64404,28671
265.69756054878235,3,7131,65535,29725,55524,65535,11257,65535,65535,50567,28284
267.7726182937622,4,692,4838,5460,4368,19792,2704,4670,5630,3695,1672
269.8617436885834,1,9846,65535,30995,63224,65535,11716,65535,48161,61594,28480
271.9600224494934,2,9878,65535,31623,65535,65535,12952,65535,65535,64401,28668
274.0185697078705,3,7151,65535,29776,55593,65535,11377,65535,65535,50543,28315
276.1025457382202,4,692,4840,4977,5747,19803,2713,4675,5638,3701,1676
278.1915807723999,1,9832,65535,30929,63174,65535,11640,65535,48134,61542,28487
280.2973918914795,2,9884,65535,31644,65535,65535,13004,65535,65535,64388,28701
282.34921503067017,3,7132,65535,29687,55529,65535,11228,65535,65535,50586,28315
284.43289494514465,4,694,4852,5454,4059,19865,2715,4682,5656,3709,1683
286.526175737381,1,9867,65535,31022,63341,65535,11703,65535,48215,61754,28513
288.60118198394775,2,9909,65535,31707,65535,65535,13042,65535,65535,64449,28731
290.6793713569641,3,7136,65535,29710,55544,65535,11273,65535,65535,50604,28292
292.76193594932556,4,691,4859,5404,6964,19824,2679,4688,5655,3716,1687
294.85289120674133,1,9834,65535,30940,63240,65535,11648,65535,48127,61605,28495
