time (h),Upper Bound,Lower Bound
1,0.006006529157262799,-0.0027137298605515387
2,0.01383246171390891,-0.009569289215392794
3,0.03552113848808971,-0.02516627943213847
4,0.11016231926927696,-0.08218787932917208
5,0.23086937665237198,-0.15607471338081566
6,0.2562044330514386,-0.1814097697798823
7,0.43117155707119376,0.005016979935383081
8,0.710532490014632,0.31736439605593725
9,0.8075671865539518,0.520576857130054
10,0.8078525013409175,0.6863271845696253
11,0.7942876423045843,0.6992243424410772
12,0.8433848205735427,0.7176887011994778
13,0.8985833165249605,0.7406895918447397
14,0.9306118076327623,0.7568083221432387
15,0.9562786208158445,0.7654189878140181
16,0.9742022602916923,0.7627643297949268
17,0.986622944318733,0.7536866616770811
18,0.998398534683128,0.7471495049916309
19,1.0017103530106966,0.7385992529851174
20,1.0026759421633453,0.7376336638324688
21,0.9986853762287218,0.7346306777180911
22,0.9923658595239719,0.7328373168154954
23,0.978017580459545,0.7231645962098936
24,0.9603798410857073,0.7085852998927881
25,0.9462056399690734,0.6913092790735139
26,0.9289270386559583,0.6716436003185493
27,0.9073625190245607,0.6524264531147979
28,0.8971415320938414,0.6332565784548139
29,0.8869908717693277,0.6206122271794688
30,0.8575516219195356,0.5690328106029203
31,0.8628437778962108,0.5405504741656331
32,0.812230650583531,0.4640860219800218
33,0.7740830356177206,0.420030303369312
34,0.7455496396924827,0.44492468671940044
35,0.7010039106511747,0.47583963816328095
