time (h),Upper Bound,Lower Bound
1,0.004298602680682202,-0.0019331296146136367
2,0.009315853266024857,-0.006050528489731148
3,0.022177748348415523,-0.011947323097931846
4,0.07217551490688053,-0.0384904734220695
5,0.15681620032768587,-0.06349884933413208
6,0.21600115318293717,-0.12268380218938335
7,0.3529858189771501,-0.0736395370041259
8,0.5065102125295542,0.03922190193449043
9,0.6918835145712319,0.22493868048186874
10,0.8308134238116665,0.44394462702743986
11,0.7731755811610378,0.5015824696780685
12,0.9331639214759213,0.7480584179952599
13,0.9760455502214037,0.8352062788464624
14,0.94392155659862,0.8716697985662257
15,0.9310986597124101,0.8873325090822218
16,0.9670711411057502,0.9233747668049146
17,0.9935417043972014,0.9511624904664359
18,0.9948920083397835,0.9566524950311374
19,0.9968949705117393,0.9602211664365284
20,0.9995296323531497,0.9582653617626797
21,1.015540419109737,0.9754727998494356
22,1.0139157852658294,0.9795338629555044
23,1.0140460183640254,0.9885177959581283
24,1.0143952304503232,0.9945693577944329
25,1.014150413453366,1.0007811063728873
26,1.0132529681929838,1.0016785516332696
27,1.0107277267420436,1.000740793025082
28,0.9922481778460575,0.9838442401888139
29,0.9929080317727601,0.9767151961414142
30,0.9913447552766552,0.9722265845690021
31,0.9639190028557142,0.9483422646473884
32,0.9692241854537023,0.9430370820494003
33,0.9683306292761905,0.942722541484282
34,0.9261030339424615,0.9090153988972499
