time (h),Predicted,Upper Bound,Lower Bound
0.5,0.0007814877026248723,0.0015822750749757597,-1.929966972601517e-05
1.0,0.0007814877026248723,0.0030848055951556074,-0.0015218301899058628
1.5,0.0011011368818193052,0.00823401490754492,-0.00603174114390631
2.0,0.0023808118797508846,0.01752515512336493,-0.01276353136386316
2.5,0.00515261654012041,0.04137541366932948,-0.03107018058908866
3.0,0.028589085830996435,0.11450781240786598,-0.0573296407458731
3.5,0.06441760311524074,0.21294639450446673,-0.08411118827398527
4.0,0.13432231219485402,0.3480189956852971,-0.07937437129558905
4.5,0.24090041716893515,0.5032883409412072,-0.021487506603336898
5.0,0.34380876397093135,0.6629641535476202,0.024653374394242533
5.5,0.4638989493250847,0.7872104366732112,0.14058746197695815
6.0,0.4638989493250847,0.7610865073650361,0.1667113912851333
6.5,0.5925453354914983,0.8459075737455828,0.33918309723741397
7.0,0.6922124922275543,0.9222713999611292,0.46215358449397953
7.5,0.7605397353569666,0.9351554346102229,0.5859240361037104
8.0,0.7605397353569666,0.8958573443360428,0.6252221263778904
8.5,0.8133464753627777,0.9287088865044199,0.6979840642211356
9.0,0.8543583701054255,0.9496145650599864,0.7591021751508645
9.5,0.8545602063337961,0.9256498526875916,0.7834705599800007
10.0,0.8993517210086187,0.9596243727433753,0.8390790692738621
10.5,0.9561657110850016,1.0110609807725286,0.9012704413974746
11.0,0.9753991365432739,1.0210243994018293,0.9297738736847185
11.5,0.9721100926399231,1.0211287008518122,0.9230914844280341
12.0,0.9719412674506506,1.0213317262623476,0.9225508086389534
12.5,0.9730803469816843,1.0220335648170005,0.9241271291463683
13.0,0.9733088811238607,1.0293265474251287,0.9172912148225928
13.5,0.9770549386739731,1.0484496933239158,0.9056601840240305
14.0,0.9908281316359838,1.0784044070425223,0.9032518562294453
14.5,1.0122146258751552,1.117031697950017,0.9073975538002934
15.0,1.0148267497618992,1.1374213110169407,0.8922321885068578
15.5,1.0173117866118748,1.1572236045208983,0.8773999687028513
16.0,1.0217077831427257,1.172587239983052,0.8708283263023995
16.5,1.0340660959482193,1.1959298122644695,0.8722023796319691
17.0,1.0369321356217067,1.206863584710827,0.8670006865325863
17.5,1.0395953555901845,1.213512467388963,0.8656782437914059
18.0,1.0331141948699951,1.206827284088778,0.8594011056512123
18.5,1.0249607960383098,1.1969852620554358,0.8529363300211837
19.0,1.0254388749599457,1.1945278011335743,0.8563499487863171
19.5,1.0237408479054768,1.19137498210936,0.8561067137015936
20.0,1.0235707064469655,1.1901916239439487,0.8569497889499823
20.5,1.022641768058141,1.1870804023397585,0.8582031337765234
21.0,1.0168458918730419,1.1714020546443766,0.8622897291017071
21.5,1.0147299418846767,1.159422457483765,0.8700374262855882
22.0,0.989359438419342,1.1237951410789102,0.8549237357597739
22.5,0.9892471681038538,1.0915302574756929,0.8869640787320148
23.0,0.98910953104496,1.0599282838032231,0.9182907782866969
